,File,Path,Width,Height,Category,File exists,WH_diff
0,1957.jpg,dataset/camisas-y-blusas/1957.jpg,728.5844099521637,728.583053290844,trousers,True,0.001356661319732666
1,4514.jpg,dataset/abrigos/4514.jpg,272.29863792657846,272.29569733142847,trousers,True,0.0029405951499938965
2,1700.jpg,dataset/abrigos/1700.jpg,272.29863792657846,272.29569733142847,trousers,True,0.0029405951499938965
3,374.jpg,dataset/zapatos/374.jpg,601.5512971580029,601.5587961673738,trousers,True,0.00749900937091752
4,430.jpg,dataset/sandalias/430.jpg,432.98426494002337,433.0301396548748,trousers,True,0.04587471485143624
5,459.jpg,dataset/tacones/459.jpg,432.98426494002337,433.0301396548748,trousers,True,0.04587471485143624
6,4278.jpg,dataset/camisas/4278.jpg,333.39421613514423,333.46214890480036,trousers,True,0.06793276965612449
7,489.jpg,dataset/zapatos/489.jpg,626.023206487298,625.9537044167519,trousers,True,0.06950207054615021
8,3338.jpg,dataset/zapatillas/3338.jpg,653.1742063164711,653.1031000614166,trousers,True,0.07110625505447388
9,543.jpg,dataset/zapatos/543.jpg,602.4281698465347,602.5533637404443,trousers,True,0.12519389390956803
10,2371.jpg,dataset/camisetas/2371.jpg,122.46050405502321,122.58706712722778,trousers,True,0.12656307220457563
11,904.jpg,dataset/pantalones/904.jpg,917.8733608499167,918.0718505382538,trousers,True,0.1984896883370766
12,3310.jpg,dataset/pantalones/3310.jpg,917.8733608499167,918.0718505382538,trousers,True,0.1984896883370766
13,3306.jpg,dataset/camisetas/3306.jpg,131.40559530258182,131.19532942771912,trousers,True,0.21026587486269932
14,674.jpg,dataset/polos/674.jpg,131.40559530258182,131.19532942771912,trousers,True,0.21026587486269932
15,3601.jpg,dataset/zapatillas/3601.jpg,624.3663087561728,624.1458177566527,trousers,True,0.22049099952005236
16,686.jpg,dataset/zapatillas/686.jpg,652.0807698369026,652.3017892241477,trousers,True,0.22101938724506454
17,3410.jpg,dataset/zapatillas/3410.jpg,549.5920551419258,549.3697848916054,trousers,True,0.22227025032043457
18,492.jpg,dataset/zapatos/492.jpg,563.9374530315398,563.6845779418945,trousers,True,0.25287508964527206
19,2420.jpg,dataset/jerseys/2420.jpg,291.33759823441505,291.0689914226532,trousers,True,0.2686068117618561
20,844.jpg,dataset/trajes/844.jpg,303.76272544264793,304.03386533260345,trousers,True,0.27113988995552063
21,661.jpg,dataset/jerseys/661.jpg,289.68490540981287,289.4073539972305,trousers,True,0.27755141258239746
22,4978.jpg,dataset/camisas-y-blusas/4978.jpg,462.04849664121866,461.76067113876337,trousers,True,0.28782550245529137
23,1817.jpg,dataset/jerseys/1817.jpg,370.66196615993965,370.970231294632,trousers,True,0.3082651346923626
24,3515.jpg,dataset/zapatillas/3515.jpg,594.0990136563777,594.4098517298697,trousers,True,0.31083807349205017
25,3395.jpg,dataset/abrigos/3395.jpg,358.05338852852583,358.38551938533783,trousers,True,0.3321308568120003
26,94.jpg,dataset/botas/94.jpg,623.9578776061535,623.6242032051086,trousers,True,0.3336744010448456
27,112.jpg,dataset/sandalias/112.jpg,635.1620234549048,634.8221111297607,trousers,True,0.33991232514404146
28,2177.jpg,dataset/sudaderas/2177.jpg,293.29292315244675,293.6737561225891,trousers,True,0.3808329701423645
29,4719.jpg,dataset/sudaderas/4719.jpg,293.29292315244675,293.6737561225891,trousers,True,0.3808329701423645
30,3054.jpg,dataset/camisas-y-blusas/3054.jpg,424.1980677843094,423.7971353530884,trousers,True,0.4009324312210083
31,2352.jpg,dataset/zapatillas/2352.jpg,634.4855484366418,634.8865851759913,trousers,True,0.4010367393494789
32,763.jpg,dataset/tacones/763.jpg,582.555284306407,582.1325576305388,trousers,True,0.42272667586814805
33,1004.jpg,dataset/zapatillas/1004.jpg,637.6500762999058,637.2216108441353,trousers,True,0.42846545577049255
34,413.jpg,dataset/botas/413.jpg,625.1472736895083,625.6341129541398,trousers,True,0.48683926463149874
35,1964.jpg,dataset/zapatillas/1964.jpg,643.2700914144516,643.7752041220665,trousers,True,0.5051127076148987
36,1127.jpg,dataset/zapatillas/1127.jpg,592.2577223181726,592.7680295705795,trousers,True,0.5103072524069603
37,1347.jpg,dataset/zapatillas/1347.jpg,624.2454582452774,624.7908559441566,trousers,True,0.5453976988792419
38,3756.jpg,dataset/zapatillas/3756.jpg,555.5755305080675,556.1216962337494,trousers,True,0.5461657256819308
39,1121.jpg,dataset/zapatillas/1121.jpg,652.1921391924843,651.6395822167398,trousers,True,0.552556975744551
